Date,Category,Description,Amount
2026-08-01,Rent,Monthly rent,15000
2026-08-02,Groceries,BigBasket order,3200
2026-08-03,Food & Dining,Swiggy order,850
2026-08-04,Shopping,Myntra haul,4500
2026-08-05,Entertainment,Netflix + BookMyShow,1200
2026-08-06,Subscriptions,Spotify+ChatGPT+Cloud storage,1800
2026-08-07,Transport,Uber rides,2100
2026-08-08,Food & Dining,Zomato order,920
2026-08-09,Shopping,Amazon impulse buy,3600
2026-08-10,Utilities,Electricity bill,1500
2026-08-11,Entertainment,Concert tickets,2800
2026-08-12,Food & Dining,Cafe hangouts,1650
2026-08-13,Travel,Weekend trip,6000
2026-08-14,Shopping,Sneakers,4200
