Date,App_Name,Category,Minutes_Used
2026-07-20,Instagram,Social Media,65
2026-07-20,YouTube,Entertainment,80
2026-07-20,Google,Education,30
2026-07-20,VS Code,Coding,120
2026-07-21,Instagram,Social Media,55
2026-07-21,YouTube,Entertainment,70
2026-07-21,Google,Education,45
2026-07-21,VS Code,Coding,110
2026-07-22,Instagram,Social Media,75
2026-07-22,Netflix,Entertainment,90
2026-07-22,Google,Education,35
2026-07-22,VS Code,Coding,100
2026-07-23,Instagram,Social Media,60
2026-07-23,YouTube,Entertainment,75
2026-07-23,Google,Education,50
2026-07-23,VS Code,Coding,130
2026-07-24,Instagram,Social Media,80
2026-07-24,YouTube,Entertainment,95
2026-07-24,Google,Education,40
2026-07-24,VS Code,Coding,90
2026-07-25,Instagram,Social Media,50
2026-07-25,Netflix,Entertainment,100
2026-07-25,Google,Education,60
2026-07-25,VS Code,Coding,140
2026-07-26,Instagram,Social Media,70
2026-07-26,YouTube,Entertainment,85
2026-07-26,Google,Education,45
2026-07-26,VS Code,Coding,125
2026-07-27,Instagram,Social Media,90
2026-07-27,YouTube,Entertainment,75
2026-07-27,Google,Education,55
2026-07-27,VS Code,Coding,100
2026-07-28,Instagram,Social Media,65
2026-07-28,Netflix,Entertainment,110
2026-07-28,Google,Education,40
2026-07-28,VS Code,Coding,115
2026-07-29,Instagram,Social Media,55
2026-07-29,YouTube,Entertainment,65
2026-07-29,Google,Education,60
2026-07-29,VS Code,Coding,135
2026-07-30,Instagram,Social Media,75
2026-07-30,YouTube,Entertainment,80
2026-07-30,Google,Education,45
2026-07-30,VS Code,Coding,120
2026-07-31,Instagram,Social Media,85
2026-07-31,Netflix,Entertainment,95
2026-07-31,Google,Education,50
2026-07-31,VS Code,Coding,105
2026-08-01,Instagram,Social Media,60
2026-08-01,YouTube,Entertainment,70
2026-08-01,Google,Education,65
2026-08-01,VS Code,Coding,130
2026-08-02,Instagram,Social Media,95
2026-08-02,YouTube,Entertainment,100
2026-08-02,Google,Education,35
2026-08-02,VS Code,Coding,90
